Date                	Time                	Reading             	Alarm               	
7/6/2017            	6:23:05 PM          	60.033 °C           	                    	
7/6/2017            	6:23:15 PM          	60.030 °C           	                    	
7/6/2017            	6:23:26 PM          	60.026 °C           	                    	
7/6/2017            	6:23:35 PM          	60.017 °C           	                    	
7/6/2017            	6:23:45 PM          	60.016 °C           	                    	
7/6/2017            	6:23:55 PM          	60.021 °C           	                    	
7/6/2017            	6:24:06 PM          	60.027 °C           	                    	
7/6/2017            	6:24:15 PM          	60.035 °C           	                    	
7/6/2017            	6:24:25 PM          	60.039 °C           	                    	
7/6/2017            	6:24:35 PM          	60.042 °C           	                    	
7/6/2017            	6:24:46 PM          	60.040 °C           	                    	
7/6/2017            	6:24:55 PM          	60.041 °C           	                    	
7/6/2017            	6:25:05 PM          	60.036 °C           	                    	
7/6/2017            	6:25:15 PM          	60.026 °C           	                    	
7/6/2017            	6:25:26 PM          	60.025 °C           	                    	
7/6/2017            	6:25:35 PM          	60.026 °C           	                    	
7/6/2017            	6:25:45 PM          	60.023 °C           	                    	
7/6/2017            	6:25:55 PM          	60.018 °C           	                    	
7/6/2017            	6:26:06 PM          	60.018 °C           	                    	
7/6/2017            	6:26:15 PM          	60.019 °C           	                    	
7/6/2017            	6:26:25 PM          	60.017 °C           	                    	
7/6/2017            	6:26:35 PM          	60.021 °C           	                    	
7/6/2017            	6:26:47 PM          	60.021 °C           	                    	
7/6/2017            	6:26:55 PM          	60.028 °C           	                    	
7/6/2017            	6:27:05 PM          	60.025 °C           	                    	
7/6/2017            	6:27:15 PM          	60.029 °C           	                    	
7/6/2017            	6:27:27 PM          	60.026 °C           	                    	
7/6/2017            	6:27:35 PM          	60.026 °C           	                    	
7/6/2017            	6:27:45 PM          	60.019 °C           	                    	
7/6/2017            	6:27:55 PM          	60.015 °C           	                    	
7/6/2017            	6:28:07 PM          	60.015 °C           	                    	
7/6/2017            	6:28:15 PM          	60.016 °C           	                    	
7/6/2017            	6:28:25 PM          	60.020 °C           	                    	
7/6/2017            	6:28:35 PM          	60.022 °C           	                    	
7/6/2017            	6:28:47 PM          	60.025 °C           	                    	
7/6/2017            	6:28:55 PM          	60.027 °C           	                    	
7/6/2017            	6:29:05 PM          	60.029 °C           	                    	
7/6/2017            	6:29:15 PM          	60.028 °C           	                    	
7/6/2017            	6:29:27 PM          	60.022 °C           	                    	
7/6/2017            	6:29:35 PM          	60.022 °C           	                    	
7/6/2017            	6:29:45 PM          	60.015 °C           	                    	
7/6/2017            	6:29:55 PM          	60.011 °C           	                    	
7/6/2017            	6:30:08 PM          	60.013 °C           	                    	
7/6/2017            	6:30:15 PM          	60.016 °C           	                    	
7/6/2017            	6:30:25 PM          	60.022 °C           	                    	
7/6/2017            	6:30:35 PM          	60.025 °C           	                    	
7/6/2017            	6:30:48 PM          	60.026 °C           	                    	
7/6/2017            	6:30:55 PM          	60.023 °C           	                    	
7/6/2017            	6:31:05 PM          	60.022 °C           	                    	
7/6/2017            	6:31:15 PM          	60.020 °C           	                    	
7/6/2017            	6:31:28 PM          	60.015 °C           	                    	
7/6/2017            	6:31:35 PM          	60.013 °C           	                    	
7/6/2017            	6:31:45 PM          	60.012 °C           	                    	
7/6/2017            	6:31:55 PM          	60.011 °C           	                    	
7/6/2017            	6:32:08 PM          	60.014 °C           	                    	
7/6/2017            	6:32:15 PM          	60.016 °C           	                    	
7/6/2017            	6:32:25 PM          	60.022 °C           	                    	
7/6/2017            	6:32:35 PM          	60.026 °C           	                    	
7/6/2017            	6:32:48 PM          	60.030 °C           	                    	
7/6/2017            	6:32:55 PM          	60.027 °C           	                    	
7/6/2017            	6:33:05 PM          	60.026 °C           	                    	
7/6/2017            	6:33:15 PM          	60.026 °C           	                    	
7/6/2017            	6:33:29 PM          	60.028 °C           	                    	
7/6/2017            	6:33:35 PM          	60.028 °C           	                    	
7/6/2017            	6:33:45 PM          	60.032 °C           	                    	
7/6/2017            	6:33:55 PM          	60.033 °C           	                    	
7/6/2017            	6:34:09 PM          	60.028 °C           	                    	
7/6/2017            	6:34:15 PM          	60.021 °C           	                    	
7/6/2017            	6:34:25 PM          	60.022 °C           	                    	
7/6/2017            	6:34:35 PM          	60.021 °C           	                    	
7/6/2017            	6:34:49 PM          	60.018 °C           	                    	
7/6/2017            	6:34:55 PM          	60.014 °C           	                    	
7/6/2017            	6:35:05 PM          	60.011 °C           	                    	
7/6/2017            	6:35:15 PM          	60.007 °C           	                    	
7/6/2017            	6:35:29 PM          	60.011 °C           	                    	
7/6/2017            	6:35:35 PM          	60.016 °C           	                    	
7/6/2017            	6:35:45 PM          	60.021 °C           	                    	
7/6/2017            	6:35:55 PM          	60.023 °C           	                    	
7/6/2017            	6:36:05 PM          	60.026 °C           	                    	
7/6/2017            	6:36:15 PM          	60.022 °C           	                    	
7/6/2017            	6:36:25 PM          	60.020 °C           	                    	
7/6/2017            	6:36:35 PM          	60.021 °C           	                    	
7/6/2017            	6:36:45 PM          	60.021 °C           	                    	
7/6/2017            	6:36:55 PM          	60.018 °C           	                    	
7/6/2017            	6:37:05 PM          	60.014 °C           	                    	
7/6/2017            	6:37:15 PM          	60.014 °C           	                    	
7/6/2017            	6:37:25 PM          	60.015 °C           	                    	
7/6/2017            	6:37:35 PM          	60.015 °C           	                    	
7/6/2017            	6:37:45 PM          	60.014 °C           	                    	
7/6/2017            	6:37:56 PM          	60.014 °C           	                    	
7/6/2017            	6:38:05 PM          	60.012 °C           	                    	
7/6/2017            	6:38:15 PM          	60.015 °C           	                    	
7/6/2017            	6:38:25 PM          	60.020 °C           	                    	
7/6/2017            	6:38:36 PM          	60.021 °C           	                    	
7/6/2017            	6:38:45 PM          	60.022 °C           	                    	
7/6/2017            	6:38:55 PM          	60.027 °C           	                    	
7/6/2017            	6:39:05 PM          	60.028 °C           	                    	
7/6/2017            	6:39:16 PM          	60.029 °C           	                    	
7/6/2017            	6:39:25 PM          	60.026 °C           	                    	
7/6/2017            	6:39:35 PM          	60.023 °C           	                    	
7/6/2017            	6:39:45 PM          	60.019 °C           	                    	
7/6/2017            	6:39:56 PM          	60.023 °C           	                    	
7/6/2017            	6:40:05 PM          	60.028 °C           	                    	
7/6/2017            	6:40:15 PM          	60.032 °C           	                    	
7/6/2017            	6:40:25 PM          	60.029 °C           	                    	
7/6/2017            	6:40:37 PM          	60.028 °C           	                    	
7/6/2017            	6:40:45 PM          	60.026 °C           	                    	
7/6/2017            	6:40:55 PM          	60.025 °C           	                    	
7/6/2017            	6:41:05 PM          	60.024 °C           	                    	
7/6/2017            	6:41:17 PM          	60.015 °C           	                    	
7/6/2017            	6:41:25 PM          	60.006 °C           	                    	
7/6/2017            	6:41:35 PM          	60.005 °C           	                    	
7/6/2017            	6:41:45 PM          	60.000 °C           	                    	
7/6/2017            	6:41:57 PM          	60.003 °C           	                    	
7/6/2017            	6:42:05 PM          	60.003 °C           	                    	
7/6/2017            	6:42:15 PM          	60.009 °C           	                    	
7/6/2017            	6:42:25 PM          	60.014 °C           	                    	
7/6/2017            	6:42:37 PM          	60.013 °C           	                    	
7/6/2017            	6:42:45 PM          	60.013 °C           	                    	
7/6/2017            	6:42:55 PM          	60.014 °C           	                    	
7/6/2017            	6:43:05 PM          	60.013 °C           	                    	
7/6/2017            	6:43:17 PM          	60.013 °C           	                    	
7/6/2017            	6:43:25 PM          	60.015 °C           	                    	
7/6/2017            	6:43:35 PM          	60.011 °C           	                    	
7/6/2017            	6:43:45 PM          	60.016 °C           	                    	
7/6/2017            	6:43:57 PM          	60.021 °C           	                    	
7/6/2017            	6:44:05 PM          	60.029 °C           	                    	
7/6/2017            	6:44:15 PM          	60.032 °C           	                    	
7/6/2017            	6:44:25 PM          	60.030 °C           	                    	
7/6/2017            	6:44:37 PM          	60.030 °C           	                    	
7/6/2017            	6:44:46 PM          	60.025 °C           	                    	
7/6/2017            	6:44:55 PM          	60.024 °C           	                    	
7/6/2017            	6:45:05 PM          	60.023 °C           	                    	
7/6/2017            	6:45:17 PM          	60.028 °C           	                    	
7/6/2017            	6:45:25 PM          	60.028 °C           	                    	
7/6/2017            	6:45:35 PM          	60.031 °C           	                    	
7/6/2017            	6:45:45 PM          	60.028 °C           	                    	
7/6/2017            	6:45:57 PM          	60.028 °C           	                    	
7/6/2017            	6:46:05 PM          	60.028 °C           	                    	
7/6/2017            	6:46:15 PM          	60.024 °C           	                    	
7/6/2017            	6:46:25 PM          	60.019 °C           	                    	
7/6/2017            	6:46:37 PM          	60.018 °C           	                    	
7/6/2017            	6:46:45 PM          	60.024 °C           	                    	
7/6/2017            	6:46:55 PM          	60.021 °C           	                    	
7/6/2017            	6:47:05 PM          	60.022 °C           	                    	
7/6/2017            	6:47:17 PM          	60.023 °C           	                    	
7/6/2017            	6:47:25 PM          	60.027 °C           	                    	
